,avg_reward,best_reward,episode,q_vals,avg_steps,best_steps
0,-1.0,-1.0,0,0.1852724850177765,6.0,6
1,-1.0,-1.0,5,0.1852724850177765,6.0,6
2,-1.0,-1.0,10,0.1852724850177765,6.0,6
3,-1.0,-1.0,15,0.1852724850177765,6.0,6
4,-1.0,-1.0,20,0.1852724850177765,6.0,6
5,-1.0,-1.0,25,0.12811848521232605,7.0,7
6,-1.0,-1.0,30,0.20093666017055511,7.0,7
7,-1.0,-1.0,35,0.3585977256298065,11.0,11
8,-1.0,-1.0,40,0.3811464309692383,13.0,13
9,-1.0,-1.0,45,0.10769734531641006,6.0,6
10,-1.0,-1.0,50,0.1692633330821991,30.0,30
11,-1.0,-1.0,55,0.23668892681598663,23.0,23
12,-1.0,-1.0,60,0.4582308232784271,6.0,6
13,-1.0,-1.0,65,0.2956728935241699,6.0,6
14,-1.0,-1.0,70,0.5998637080192566,12.0,12
15,-1.0,-1.0,75,0.4200211465358734,7.0,7
16,-1.0,-1.0,80,0.2635926902294159,11.0,11
17,-1.0,-1.0,85,0.3871695101261139,7.0,7
18,-1.0,-1.0,90,0.3299676477909088,6.0,6
19,-1.0,-1.0,95,0.12712007761001587,6.0,6
20,-1.0,-1.0,100,0.19210323691368103,6.0,6
21,0.0,0.0,105,0.17006228864192963,250.0,250
22,-1.0,-1.0,110,0.2368876039981842,6.0,6
23,-1.0,-1.0,115,0.2196522206068039,6.0,6
24,-1.0,-1.0,120,0.10716485232114792,6.0,6
25,-1.0,-1.0,125,0.12850511074066162,6.0,6
26,-1.0,-1.0,130,0.006107604596763849,7.0,7
27,-1.0,-1.0,135,0.1408465951681137,26.0,26
28,-1.0,-1.0,140,0.0008309264085255563,6.0,6
29,0.0,0.0,145,0.025495683774352074,250.0,250
30,-1.0,-1.0,150,-0.11755367368459702,11.0,11
31,-1.0,-1.0,155,0.13958141207695007,14.0,14
32,0.0,0.0,160,0.17828533053398132,250.0,250
33,0.0,0.0,165,0.09661361575126648,250.0,250
34,-1.0,-1.0,170,0.11350897699594498,12.0,12
35,-1.0,-1.0,175,0.05995482578873634,14.0,14
36,-1.0,-1.0,180,-0.016079870983958244,10.0,10
37,-1.0,-1.0,185,0.03606390953063965,7.0,7
38,-1.0,-1.0,190,0.06385572999715805,6.0,6
39,0.0,0.0,195,0.08879391103982925,250.0,250
