,avg_reward,best_reward,episode,q_vals,avg_steps,best_steps
0,-1.0,-1.0,0,0.7623451352119446,7.6,8
1,-1.0,-1.0,50,0.6258158087730408,9.2,17
2,-1.0,-1.0,100,0.37774041295051575,8.0,8
3,-1.0,-1.0,150,0.31739819049835205,14.0,21
4,-1.0,-1.0,200,0.22477588057518005,16.4,27
5,-1.0,-1.0,250,0.19366854429244995,11.5,17
6,-1.0,-1.0,300,0.18794040381908417,14.7,21
7,-1.0,-1.0,350,0.3122714161872864,17.1,21
8,-1.0,-1.0,400,0.031164327636361122,10.5,19
9,-1.0,-1.0,450,0.004671675618737936,12.2,21
10,-1.0,-1.0,500,-0.04821537062525749,6.1,7
11,-1.0,-1.0,550,-0.13262461125850677,15.7,26
12,-1.0,-1.0,600,-0.18323861062526703,9.6,21
13,-1.0,-1.0,650,-0.13045983016490936,8.9,15
14,-1.0,-1.0,700,-0.23673328757286072,9.2,19
15,-0.9,0.0,750,-0.25219428539276123,21.7,29
16,-1.0,-1.0,800,-0.262790322303772,17.2,24
17,-1.0,-1.0,850,-0.2997559905052185,16.5,21
18,-1.0,-1.0,900,-0.3697096109390259,15.0,27
19,-1.0,-1.0,950,-0.3572165369987488,18.2,23
20,-1.0,-1.0,1000,-0.4338679015636444,21.2,24
21,-1.0,-1.0,1050,-0.4109167158603668,11.3,22
22,-1.0,-1.0,1100,-0.46637141704559326,9.1,19
23,-1.0,-1.0,1150,-0.49232977628707886,14.3,22
24,-1.0,-1.0,1200,-0.5567747950553894,11.8,21
25,-1.0,-1.0,1250,-0.5524634718894958,15.1,21
26,-1.0,-1.0,1300,-0.5958846807479858,12.8,15
27,-1.0,-1.0,1350,-0.5263466238975525,15.9,24
28,-1.0,-1.0,1400,-0.5459375381469727,14.7,22
29,-1.0,-1.0,1450,-0.5115918517112732,15.6,26
30,-1.0,-1.0,1500,-0.5404542684555054,14.2,23
31,-1.0,-1.0,1550,-0.49866101145744324,15.9,20
32,-1.0,-1.0,1600,-0.6030656099319458,7.8,13
33,-1.0,-1.0,1650,-0.5896477103233337,14.7,22
34,-1.0,-1.0,1700,-0.5950191617012024,12.4,14
35,-1.0,-1.0,1750,-0.5859825611114502,16.9,21
36,-1.0,-1.0,1800,-0.5874917507171631,16.0,27
37,-1.0,-1.0,1850,-0.6391875147819519,9.1,13
38,-1.0,-1.0,1900,-0.640836775302887,6.0,6
39,-1.0,-1.0,1950,-0.6519662737846375,11.7,19
40,-1.0,-1.0,2000,-0.6407690048217773,11.7,18
41,-1.0,-1.0,2050,-0.6721535325050354,12.5,21
42,-1.0,-1.0,2100,-0.7023131847381592,15.9,23
43,-1.0,-1.0,2150,-0.6599762439727783,14.8,23
44,-0.9,0.0,2200,-0.7184330821037292,17.5,29
45,-1.0,-1.0,2250,-0.6860512495040894,9.8,21
46,-1.0,-1.0,2300,-0.6931231021881104,15.9,22
47,-1.0,-1.0,2350,-0.6984540224075317,13.1,23
48,-1.0,-1.0,2400,-0.7806382775306702,8.6,17
49,-1.0,-1.0,2450,-0.784080982208252,9.3,19
50,-1.0,-1.0,2500,-0.745402455329895,9.1,18
51,-0.9,0.0,2550,-0.7509334683418274,20.3,30
52,-1.0,-1.0,2600,-0.7756701111793518,7.6,11
53,-1.0,-1.0,2650,-0.7824636101722717,6.1,7
54,-1.0,-1.0,2700,-0.7821484208106995,7.0,14
55,-1.0,-1.0,2750,-0.7741081118583679,7.0,7
